regiao_ars,episodios_urgencia_media_diaria,tempo_medio_espera_media,taxa_internamento_media,prioridade_verde_azul_media,dias_com_registo
ARS Lisboa e Vale do Tejo,5668.854893908282,77.55248151266255,8.919496408966461,46.661517754962354,2922
ARS Centro,2989.3709787816565,57.277746930184804,9.489475290212184,36.25420734428474,2922
ARS Algarve,849.1180698151951,54.841473498007964,12.540573551601424,38.349590838491636,2922
ARS Norte,5980.530116358658,50.37940570841889,8.657739958247776,37.9778006091718,2922
ARS Alentejo,1003.8288843258042,38.94684893908282,10.31975299726215,42.84135276180698,2922
